,bedType,bed,roomType,view,master_room_type,,,room_name,stt
Standart,Other,Other,executive premier ,Other,Executive Premier,,,Executive Premier King Room,2
Standart,Other,Other,executive premier ,Other,Executive Premier,,,Executive Premier Room,2
Standart,Other,Other,executive premier ,Other,Executive Premier,,,Executive Premier With Breakfast,2
Standart,twin ,Other,Executive superior,Other,Executive superior,,,Twin Superior-Executive,2
Standart,double ,Other,Executive superior,Other,Executive superior,,,Double Executive Superior,2
Standart,double twin ,Other,Executive superior,Other,Executive superior,,,Double Or Twin Executive Sky Superior,2
Standart,double twin ,Other,Executive superior,Other,Executive superior,,,Double Or Twin Executive Superior,2
Standart,Other,Other,Executive superior,Other,Executive superior,,,Executive Superior,2
Standart,Other,Other,Executive superior,Other,Executive superior,,,Executive Superior Sky Plus Lounge Benefits,2
Standart,twin ,Other,Executive superior,Other,Executive superior,,,Twin Executive Superior,2
Standart,twin double ,Other,Executive superior,Other,Executive superior,,,Twin/Double Room - Executive - Superior,2
family ,Other,Other,Family,Other,Family,Family,,10-Bed Family Room,2
family shared ,Other,Other,Family,Other,Family,Family,,12 Person Family Room (Shared Bathroom),2
family ,Other,Other,Family,Other,Family,Family,,2 - Family Room,2
family ,Other,Other,Family,Other,Family,Family,,2 Queen Beds Family Room,2
family ,Other,Other,Family,Other,Family,Family,,2-Storey Family Mansion,2
family ,Other,Other,Family,Other,Family,Family,,4 Bed Family Room,2
family ,Other,Other,Family,Other,Family,Family,,4 Bed Family Room (Price Per Room),2
family shared ,Other,Other,Family,Other,Family,Family,,"6 Bed Family Room, Shared Bathroom",2
family shared ,Other,Other,Family,Other,Family,Family,,"6 Bedded Family Room, Shared Bathroom",2
family shared ,Other,Other,Family,Other,Family,Family,,6 Beds Family Room With Shared Bathroom (6 Adults),2
family ,Other,Other,Family,Other,Family,Family,,8 Bed Family Room (Price Per Room),2
family shared ,Other,Other,Family,Other,Family,Family,,8 Person Family Room (Shared Bathroom),2
family ,Other,Other,Family,Other,Family,Family,,8-Pods Family Room,2
family ,Other,Other,Family,Other,Family,Family,,Alor Family Room,2
family ,Other,Other,Family,Other,Family,Family,,Arcadia Family,2
family ,Other,Other,Family,Other,Family,Family,,Balcony Family,2
family ,Other,Other,Family,Other,Family,Family,,Chic Family Room,2
family ,Other,Other,Family,Other,Family,Family,,Family Standard,2
family ,Other,Other,Family,Other,Family,Family,,Family Standard (Quad Sharing),2
family ,Other,Other,Family,Other,Family,Family,,Family Star,2
family ,Other,Other,Family,Other,Family,Family,,Family Street View,2
family ,triple ,Other,Family,Other,Family,Family,,Family Triple,2
family ,triple ,Other,Family,Other,Family,Family,,Family Triple - No Window,2
family ,triple ,Other,Family,Other,Family,Family,,Family Triple ( 3 Adults ),2
family ,triple ,Other,Family,city ,Family,Family,,Family Triple City View,2
family ,triple ,Other,Family,Other,Family,Family,,Family Triple No Window,2
family ,triple ,Other,Family,city ,Family,Family,,Family Triple Room City View With Balcony,2
family ,triple ,Other,Family,Other,Family,Family,,"Family Triple Room, 1 Bedroom",2
family ,triple ,Other,Family,city ,Family,Family,,"Family Triple Room, 1 Bedroom, City View",2
family ,triple ,Other,Family,Other,Family,Family,,"Family Triple Room, Accessible, Non Smoking",2
family ,triple ,Other,Family,city ,Family,Family,,"Family Triple Room, City View",2
family ,Other,Other,Family,Other,Family,Family,,Family Two Bed Room,2
family ,Other,Other,Family,Other,Family,Family,,Family Two Bedroom,2
family ,Other,Other,Family,Other,Family,Family,,Family Two-Bedroom ,2
family ,Other,Other,Family,Other,Family,Family,,Family Window,2
family ,Other,Other,Family,Other,Family,Family,,Family With Balcony,2
family ,Other,Other,Family,city ,Family,Family,,Family With City View,2
family ,Other,Other,Family,Other,Family,Family,,Family With Private Bathroom (4 Guests),2
family ,Other,Other,Family,Other,Family,Family,,Family With Private Bathroom (6 Guests),2
family ,Other,Other,Family,Other,Family,Family,,Family With View,2
family ,Other,Other,Family,Other,Family,Family,,Family With Window,2
family ,triple ,Other,Family,Other,Family,Family,,Family/Triple,2
pool family ,double ,Other,Family,Other,Family,Family,,Pool Side Family (Double),2
pool family ,double ,Other,Family,Other,Family,Family,,Pool View Family (Double),2
family ,Other,Other,Family,Other,Family,Family,,5 Bed Family Room (Price Per Room),2
family ,Other,Other,Family,Other,Family,Family,,6 Bed Family Room,2
family ,Other,Other,Family,Other,Family,Family,,6 Bed Family Room (Price Per Room),2
family ,Other,Other,Family,Other,Family,Family,,6 Pax Family Room,2
family ,Other,Other,Family,Other,Family,Family,,6 Pax Family Room (Price Per Room),2
family shared ,Other,Other,Family,Other,Family,Family,,6 Person Family Room (Shared Bathroom),2
family ,Other,Other,Family,Other,Family,Family,,8 Pax Family Room,2
family ,Other,Other,Family,Other,Family,Family,,Bunny Family,2
family ,Other,Other,Family,Other,Family,Family,,Connected Family Room,2
family ,Other,Other,Family,Other,Family,Family,,Connecting Family Room,2
family ,Other,Other,Family,Other,Family,Family,,Connecting Rooms - Family Unit,2
family ,double ,Other,Family,Other,Family,Family,,Double 2 Bedrooms-Family Room,2
family ,double ,Other,Family,Other,Family,Family,,Double Family Room,2
family ,Other,Other,Family,Other,Family,Family,,Economy Family,2
family ,Other,Other,Family,Other,Family,Family,,Economy Family Room,2
family ,Other,Other,Family,Other,Family,Family,,Family - 1-Bedroom,2
family ,Other,Other,Family,Other,Family,Family,,Family - 2 King Beds,2
family ,Other,Other,Family,Other,Family,Family,,Family - 2 Queen Beds,2
family ,Other,Other,Family,Other,Family,Family,,Family - 2 Rooms,2
family ,Other,Other,Family,Other,Family,Family,,Family - 3 Beds,2
family ,Other,Other,Family,Other,Family,Family,,Family - 3 Persons,2
family ,Other,Other,Family,Other,Family,Family,,Family - 4 Adults,2
family ,Other,Other,Family,Other,Family,Family,,Family - 4 Persons,2
family ,Other,Other,Family,Other,Family,Family,,Family - 6 Pax,2
family ,Other,Other,Family,Other,Family,Family,,Family - 6 Persons,2
family ,Other,Other,Family,Other,Family,Family,,Family - Economy Class,2
family ,Other,Other,Family,Other,Family,Family,,Family - For Four Persons,2
family ,Other,Other,Family,Other,Family,Family,,Family - Free Pick Up,2
family ,Other,Other,Family,Other,Family,Family,,Family - Interconnecting Room,2
family ,Other,Other,Family,Other,Family,Family,,Family - Quad Room,2
family ,Other,Other,Family,Other,Family,Family,,Family - Queen And 2 Singles,2
family ,double single ,Other,Family,Other,Family,Family,,Family ( 1 Double And 1 Single ),2
family ,double single ,Other,Family,Other,Family,Family,,Family (1 Double Bed + 1 Single Bed),2
family ,double single ,Other,Family,Other,Family,Family,,Family (1 Double Bed + 2 Single Beds),2
family ,Other,Other,Family,Other,Family,Family,,Family (12 People),2
family ,Other,Other,Family,Other,Family,Family,,Family (2 Adults + 3 Children),2
family ,double ,Other,Family,Other,Family,Family,,Family (2 Double Beds),2
family ,Other,Other,Family,Other,Family,Family,,Family (4 Pax),2
family ,Other,Other,Family,Other,Family,Family,,Family (4 Persons),2
family ,single ,Other,Family,Other,Family,Family,,Family (4 Single Beds),2
family ,Other,Other,Family,Other,Family,Family,,Family (5 Person),2
family ,Other,Other,Family,Other,Family,Family,,Family (5 Persons),2
family ,Other,Other,Family,Other,Family,Family,,Family (6 Adults) With Breakfast,2
family ,Other,Other,Family,Other,Family,Family,,Family (6 People),2
family ,Other,Other,Family,Other,Family,Family,,Family (8 People),2
family ,Other,Other,Family,Other,Family,Family,,Family (Classic Connecting),2
family ,Other,Other,Family,Other,Family,Family,,Family (Connecting),2
family ,Other,Other,Family,Other,Family,Family,,Family (Deluxe Connecting),2
family ,Other,Other,Family,Other,Family,Family,,Family (Fr),2
family ,triple ,Other,Family,Other,Family,Family,,Family (Triple),2
family ,double ,Other,Family,Other,Family,Family,,Family 1 Double And 1 Bunk Bed,2
family ,double ,Other,Family,Other,Family,Family,,Family 1 Double Bed And 1 Sofa Bed,2
family ,Other,Other,Family,Other,Family,Family,,Family 2 Queen Beds,2
family ,Other,Other,Family,Other,Family,Family,,Family 3,2
family ,Other,Other,Family,Other,Family,Family,,Family 3 Adults,2
family ,Other,Other,Family,Other,Family,Family,,Family 3 No Window,2
family ,Other,Other,Family,Other,Family,Family,,Family 3 Pax,2
family ,Other,Other,Family,Other,Family,Family,,Family 3 Person,2
family ,Other,Other,Family,Other,Family,Family,,Family 3 Persons,2
family ,Other,Other,Family,Other,Family,Family,,Family 3 Rooms,2
family ,Other,Other,Family,Other,Family,Family,,Family 4,2
family ,Other,Other,Family,Other,Family,Family,,Family 4 Adults,2
family ,Other,Other,Family,Other,Family,Family,,Family 4 Beds Room,2
family shared ,Other,Other,Family,Other,Family,Family,,"Family 4 Beds Room, Shared Bathroom",2
family shared ,Other,Other,Family,Other,Family,Family,,Family 4 Beds Shared Bathroom,2
family ,Other,Other,Family,Other,Family,Family,,Family 4 With Window,2
family ,Other,Other,Family,Other,Family,Family,,Family 5 Person,2
family ,Other,Other,Family,Other,Family,Family,,Family 6,2
family ,Other,Other,Family,Other,Family,Family,,Family 6 Beds Room,2
family shared ,Other,Other,Family,Other,Family,Family,,"Family 6 Beds Room, Shared Bathroom",2
family ,Other,Other,Family,Other,Family,Family,,Family Air Conditioning,2
family ,Other,Other,Family,Other,Family,Family,,Family Balcony Room,2
family ,Other,Other,Family,Other,Family,Family,,Family Bed In A 16 Bed Room,2
family ,Other,Other,Family,Other,Family,Family,,Family Bella Vita View,2
family ,Other,Other,Family,Other,Family,Family,,Family Big Window,2
family ,Other,Other,Family,Other,Family,Family,,Family Budget,2
family ,Other,Other,Family,Other,Family,Family,,Family Bunk Bed Room,2
family ,Other,Other,Family,Other,Family,Family,,Family Cabin,2
family ,Other,Other,Family,city ,Family,Family,,Family City View,2
family ,Other,Other,Family,city ,Family,Family,,Family City View With Balcony,2
family club ,Other,Other,Family,Other,Family,Family,,Family Club,2
family ,Other,Other,Family,Other,Family,Family,,Family Connecting,2
family ,Other,Other,Family,Other,Family,Family,,"Family Connecting Door, 2 Bedrooms",2
family ,Other,Other,Family,Other,Family,Family,,Family Connecting Room,2
family ,double double ,Other,Family,Other,Family,Family,,Family Double (2 Double Bed),2
family ,double ,Other,Family,Other,Family,Family,,Family Double Bed,2
family ,double ,Other,Family,Other,Family,Family,,Family Double Room,2
family ,Other,Other,Family,Other,Family,Family,,Family Duplex,2
family ,Other,Other,Family,Other,Family,Family,,Family For 4 Persons,2
family ,Other,Other,Family,Other,Family,Family,,Family Interconnecting,2
family ,Other,Other,Family,Other,Family,Family,,Family King,2
family ,Other,Other,Family,Other,Family,Family,,Family Loft,2
family ,Other,Other,Family,Other,Family,Family,,Family Nest,2
family ,Other,Other,Family,Other,Family,Family,,Family No Window,2
family ,Other,Other,Family,Other,Family,Family,,Family No Window (3 Pax),2
family ,Other,Other,Family,Other,Family,Family,,Family Poolside Room,2
family ,Other,Other,Family,Other,Family,Family,,Family Quad,2
family ,Other,Other,Family,Other,Family,Family,,Family Quad Room,2
family ,Other,Other,Family,Other,Family,Family,,Family Queen,2
family ,Other,Other,Family,River,Family,Family,,Family River View,2
family ,Other,Other,Family,Other,Family,Family,,Family Room  (5 People),2
family ,double single ,Other,Family,Other,Family,Family,,Family Room - (1 Double Bed 1 Single Bed),2
family ,double single ,Other,Family,Other,Family,Family,,Family Room - 1 Double + 1 Single,2
family ,double single ,Other,Family,Other,Family,Family,,Family Room - 1 Double 1 Single Bed,2
family ,double ,Other,Family,Other,Family,Family,,Family Room - 2 X Double Bed,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - 3 Adults,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - 3 Pax,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - 3 People,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - 4 Adults,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - 4 Pax,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - 4 People,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - 4 Persons,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - 5 Pax,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - 5-6 People,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - 6 Pax,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - 6 Persons,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - 7 Person,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - Attached Bathroom,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - Balcony,2
family ,Other,Other,Family,city ,Family,Family,,Family Room - City View,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - Grand,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - Lake View,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - Max 10 Persons,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - Max 5 Persons,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - Maximum 8 Persons,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - No Window,2
family ,Other,Other,Family,Other,Family,Family,,Family Room - River View,2
family shared ,Other,Other,Family,River,Family,Family,,Family Room - Shared Bath,2
family shared ,Other,Other,Family,Other,Family,Family,,Family Room - Shared Bathroom,2
family ,Other,Other,Family,Other,Family,Family,,"Family Room , 1 Bedroom",2
family ,Other,Other,Family,Other,Family,Family,,Family Room (2 Adults + 1 Child),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (2 Adults 2 Children Only),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (2 Beds),2
family ,double ,Other,Family,Other,Family,Family,,Family Room (2 Double And 1 Bunk Bed),2
family ,double ,Other,Family,Other,Family,Family,,Family Room (2 Double Beds),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (3 Adults),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (3 Person),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (4 Adults With Private Bathroom),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (4 Adults),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (4 Beds),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (4 Person),2
family shared ,Other,Other,Family,Other,Family,Family,,Family Room (4 Persons With Shared Bathroom),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (4 Persons),2
family shared ,Other,Other,Family,Other,Family,Family,,Family Room (5 Adults With Shared Bathroom),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (5 Adults),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (6 Adults),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (6 Beds),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (6 Pax),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (6 Persons),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (7 Adults),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (8 Adults),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (8 Beds),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (8 Persons),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (Klcc View),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (Max 5 Pax),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (Normal Room),2
family ,triple ,Other,Family,Other,Family,Family,,Family Room (Triple),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (Window),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (With Private Bathroom),2
family ,Other,Other,Family,Other,Family,Family,,Family Room (With Window),2
family ,Other,Other,Family,Other,Family,Family,,Family Room 1 Bedroom,2
family ,Other,Other,Family,Other,Family,Family,,Family Room 2 Bedroom,2
family ,Other,Other,Family,Other,Family,Family,,Family Room 2 Bedrooms,2
family ,Other,Other,Family,Other,Family,Family,,Family Room 4,2
family ,Other,Other,Family,Other,Family,Family,,Family Room 4 Adults,2
family ,Other,Other,Family,Other,Family,Family,,Family Room 4 Pax,2
family ,Other,Other,Family,Other,Family,Family,,Family Room 5 People,2
family ,Other,Other,Family,Other,Family,Family,,Family Room 6 Adult,2
family ,Other,Other,Family,Other,Family,Family,,Family Room 6 Person,2
family ,single ,Other,Family,Other,Family,Family,,Family Room 6 Person (Super Single Bed),2
family ,Other,Other,Family,Other,Family,Family,,Family Room 7 Adult,2
family ,Other,Other,Family,Other,Family,Family,,Family Room Bay View,2
family ,Other,Other,Family,Other,Family,Family,,Family Room Cabin,2
family ,Other,Other,Family,Other,Family,Family,,Family Room Capacity 3,2
family ,Other,Other,Family,Other,Family,Family,,Family Room Capacity 4,2
family ,Other,Other,Family,city ,Family,Family,,Family Room City View,2
family ,Other,Other,Family,Other,Family,Family,,Family Room Connecting Room,2
family ,Other,Other,Family,Other,Family,Family,,Family Room Duplex,2
family ,Other,Other,Family,Other,Family,Family,,Family Room For 4 Pax,2
family ,Other,Other,Family,Other,Family,Family,,Family Room For 4 People,2
family ,Other,Other,Family,Other,Family,Family,,Family Room Grand,2
family ,Other,Other,Family,Other,Family,Family,,Family Room Guest Room,2
family ,Other,Other,Family,Other,Family,Family,,Family Room King Size Bed,2
family ,Other,Other,Family,Other,Family,Family,,Family Room La Residenza,2
family ,Other,Other,Family,Other,Family,Family,,Family Room No Window,2
family ,Other,Other,Family,Other,Family,Family,,Family Room Non Smoking,2
family ,Other,Other,Family,Other,Family,Family,,Family Room Only,2
family ,Other,Other,Family,Other,Family,Family,,Family Room Quad (4 Adults) With Breakfast,2
family ,Other,Other,Family,River,Family,Family,,Family Room River View,2
family ,Other,Other,Family,Other,Family,Family,,Family Room Room,2
family shared ,Other,Other,Family,Other,Family,Family,,Family Room Shared Bathroom For 3 - 4 Persons,2
family ,Other,Other,Family,Other,Family,Family,,Family Room Standard,2
family ,Other,Other,Family,Other,Family,Family,,Family Room Suite,2
family family ,triple ,Other,Family,Other,Family,Family,,Family Room Triple Family,2
family ,Other,Other,Family,Other,Family,Family,,Family Room Two Bedroom Lohas,2
family ,Other,Other,Family,Other,Family,Family,,Family Room Two Bedrooms,2
family ,Other,Other,Family,Other,Family,Family,,Family Room Two Beds,2
family shared ,Other,Other,Family,Other,Family,Family,,Family Room With (Shared Bathroom),2
family ,Other,Other,Family,Other,Family,Family,,Family Room With 3 Persons,2
family ,Other,Other,Family,Other,Family,Family,,Family Room With 4 Breakfast,2
family ,Other,Other,Family,Other,Family,Family,,Family Room With Balcony,2
family ,Other,Other,Family,Other,Family,Family,,Family Room With Bathroom,2
family ,Other,Other,Family,Other,Family,Family,,Family Room With Breakfast,2
family ,Other,Other,Family,city ,Family,Family,,Family Room With City View,2
family ,Other,Other,Family,Other,Family,Family,,Family Room With External Private Bathroom,2
family ,Other,Other,Family,Other,Family,Family,,Family Room With Minibar,2
family ,Other,Other,Family,Other,Family,Family,,Family Room With One Way Transfer To Airport,2
family ,Other,Other,Family,Other,Family,Family,,Family Room With Private Bathroom,2
family shared ,Other,Other,Family,Other,Family,Family,,Family Room With Shared Bathroom - 6 Persons,2
family shared ,Other,Other,Family,Other,Family,Family,,Family Room With Shared Bathroom (4 Persons),2
family ,Other,Other,Family,Other,Family,Family,,Family Room With Window,2
family ,Other,Other,Family,Other,Family,Family,,Family Room Without Window,2
family ,Other,Other,Family,Other,Family,Family,,"Family Room, 1 Bedroom",2
family ,Other,Other,Family,city ,Family,Family,,"Family Room, 1 Bedroom, Private Bathroom, City View",2
family ,double single ,Other,Family,Other,Family,Family,,"Family Room, 1 Double And 1 Single Bed",2
family ,Other,Other,Family,Other,Family,Family,,"Family Room, 1 King Bed",2
family ,Other,Other,Family,Other,Family,Family,,"Family Room, 2 Bedrooms",2
family ,double ,Other,Family,Other,Family,Family,,"Family Room, 2 Double Beds",2
family ,Other,Other,Family,Other,Family,Family,,"Family Room, 2 Full Beds, Church View",2
family ,Other,Other,Family,Other,Family,Family,,"Family Room, 2 Queen Beds",2
family shared ,Other,Other,Family,Other,Family,Family,,"Family Room, 2 Queen Beds, Shared Bathroom",2
family ,Other,Other,Family,Other,Family,Family,,"Family Room, 5 Bedrooms",2
family ,Other,Other,Family,Other,Family,Family,,"Family Room, Balcony",2
family ,Other,Other,Family,city ,Family,Family,,"Family Room, Balcony, City View",2
family ,Other,Other,Family,city ,Family,Family,,"Family Room, City View",2
family ,Other,Other,Family,Other,Family,Family,,"Family Room, Connecting Rooms",2
family ,Other,Other,Family,Other,Family,Family,,"Family Room, Multiple Beds",2
family ,Other,Other,Family,Other,Family,Family,,"Family Room, No Tv",2
family ,Other,Other,Family,Other,Family,Family,,"Family Room, Non Smoking",2
family ,Other,Other,Family,Other,Family,Family,,"Family Room, Private Bathroom (6 Person)",2
family share ,Other,Other,Family,Other,Family,Family,,"Family Room, Share Bathroom",2
family shared ,Other,Other,Family,Other,Family,Family,,"Family Room, Shared Bathroom",2
family shared ,Other,Other,Family,Other,Family,Family,,"Family Room, Shared Bathroom (6 Persons)",2
family ,Other,Other,Family,Other,Family,Family,,"Family Room, View",2
family ,Other,Other,Family,Other,Family,Family,,Family Room(02 Sup Connecting),2
family ,Other,Other,Family,Other,Family,Family,,Family Rooms,2
family shared ,Other,Other,Family,Other,Family,Family,,Family Shared Bathroom,2
family ,Other,Other,Family,Other,Family,Family,,Grand Family,2
family ,Other,Other,Family,Other,Family,Family,,Grand Family With Private Bathroom,2
family ,Other,Other,Family,Other,Family,Family,,Isanook Family Suites,2
family ,Other,Other,Family,Other,Family,Family,,Lotus Family Room,2
family ,Other,Other,Family,Other,Family,Family,,Noble Family Room,2
family ,Other,Other,Family,Other,Family,Family,,Oldtown Family,2
family ,Other,Other,Family,Other,Family,Family,,Private Family,2
family ,Other,Other,Family,Other,Family,Family,,Private Family Room,2
family ,Other,Other,Family,Other,Family,Family,,Private Family Room For 6 Person With A/C,2
family ,Other,Other,Family,Other,Family,Family,,Small Family Room,2
family ,Other,Other,Family,Other,Family,Family,,Super Family,2
family ,Other,Other,Family,Other,Family,Family,,Two Bedroom Family,2
family ,Other,Other,Family,Other,Family,Family,,Vip Family With Balcony,2
family apartment ,Other,Other,Family,Other,Family,Family,,Family Apartment (6 Adults),2
family club ,Other,Other,Family,Other,Family,Family,,Family Room - Club,2
family club ,Other,Other,Family,Other,Family,Family,,Family Room Club,2
family condo ,Other,Other,Family,city ,Family,Family,,"Family Condo, 1 Bedroom, Smoking, City View",2
family shared ,Other,Other,Family,Other,Family,Family,,4 Beds Family Room With Shared Bathroom (4 Adults),2
family ,Other,Other,Family,Other,Family,Family,,4-Bed Family Room With Private Bathroom,2
family ,Other,Other,Family,Other,Family,Family,,Friends And Family Stay Connected,2
family ,Other,Other,Family,Other,Family,Family,,Nuve Family,2
family ,Other,Other,Family,Other,Family,Family,,Nuve Family Room,2
family ,double ,Other,Family,Other,Family,Family,,Standard Double Vip For Family,2
family ,Other,Other,Family,Other,Family,Family,,Standard Family,2
family ,Other,Other,Family,Other,Family,Family,,Standard Family No Window,2
family ,Other,Other,Family,Other,Family,Family,,Standard Family Room,2
family ,Other,Other,Family,Other,Family,Family,,Standard Family Room (6 Persons),2
family ,Other,Other,Family,Other,Family,Family,,Standard Family Suite,2
family ,Other,Other,Family,Other,Family,Family,,Tower Wing Family Dlx,2
family ,triple ,Other,Family,Other,Family,Family,,Triple Family,2
family ,triple ,Other,Family,Other,Family,Family,,Triple Family Room,2
family ,triple ,Other,Family,Other,Family,Family,,Triple Family Room With Window,2
family ,triple ,Other,Family,Other,Family,Family,,Triple Family Room-With Window,2
family ,triple ,Other,Family,Other,Family,Family,,Triple Family Star,2
family ,triple triple ,Other,Family,Other,Family,Family,,Triple Family Triple,2
family ,triple ,Other,Family,Other,Family,Family,,Triple Nuve Family,2
family ,Other,Other,Family classic ,Other,Family classic ,Family,,Family Classic,2
family ,Other,Other,Family classic ,Other,Family classic ,Family,,Family Classic Room,2
family ,Other,Other,Family classic ,Other,Family classic ,Family,,Family Room - Classic,2
family ,Other,Other,Family classic ,Other,Family classic ,Family,,Family Room Classic,2
family family ,Other,Other,Family classic ,Other,Family classic ,Family,,Family Room Classic Family,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe 4 Bed Family Room (Price Per Room),2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family (3 Persons),2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family (4 Persons),2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family 1 Bedroom,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family Balcony,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family Bungalow,2
family ,Other,Other,Family Deluxe,city ,Family Deluxe,Family,,Deluxe Family Connecting City View,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family Junior,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family King,2
family pool ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family Pool View - 2 Queen Beds,2
family pool ,single ,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family Pool View - 3 Single Beds,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family Quad,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family Queen,2
family residence ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family Residence,2
family pool ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family Room (Pool View),2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family Room With Balcony,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family Suite,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family Suite (4 Adults),2
family ,triple ,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family Triple,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family With Private Bath,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family With Private Bathroom,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Family With Window,2
family ,Other,Other,Family Deluxe,city ,Family Deluxe,Family,,"Deluxe Family, City View",2
family ,triple ,Other,Family Deluxe,Other,Family Deluxe,Family,,Deluxe Triple Room Or Family,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Family  Deluxe Suite,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Family Deluxe,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Family Deluxe - 2 Queen Beds,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Family Deluxe - 4 Pax,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Family Deluxe (4 Adults),2
family ,Other,Other,Family Deluxe,city ,Family Deluxe,Family,,Family Deluxe City View,2
family ,Other,Other,Family Deluxe,city ,Family Deluxe,Family,,Family Deluxe City View (4 Adults),2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Family Deluxe No Window,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,"Family Deluxe Room, Window",2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Family Deluxe With Breakfast And Wifi,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Family Deluxe With Window,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Family Queen Deluxe,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Family Room - Deluxe,2
family pool ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Family Room - Deluxe - Pool View,2
family ,Other,Other,Family Deluxe,Other,Family Deluxe,Family,,Family Room - Grand Deluxe,2
