bedType,bed,roomType,view,master_room_type,room_name,
,king ,superior ,,Superior Studio,"Superior Studio, 1 King Bed",
,queen ,superior ,,Superior Studio,Superior Studio - Queen Bed,
,,superior ,,Superior Studio Apartment,Superior Studio Apartment,
,,superior suite ,,Superior Studio,Superior Studio Suite,
,,superior suite ,,Superior Studio,"Superior Studio Suite, 1 King Bed",
,,superior suite ,,Superior Studio,"Superior Studio Suite, Balcony",
double twin ,,superior suite ,,Superior Suite,Double Or Twin Superior Suite,
twin ,,superior suite ,,Superior Suite,Twin Superior Suite,
,,superior suite ,,Superior Suite,Suite One Bedroom Superior,
,,superior suite ,,Superior Suite,Suite Superior,
,,superior suite ,,Superior Suite,Superior Suite,
,,superior suite ,,Superior Suite,"Superior Suite, 1 Bedroom",
,king ,superior suite ,,Superior Suite,"Superior Suite, 1 King Bed, Balcony",
,queen ,superior suite ,,Superior Suite,Superior Suite With 2 Queen Bed,
,,superior ,,Superior Villa,Superior Villa,
,,superior ,,Superior Villa,Villa Superior,
triple ,,,,Triple,Triple Room,
triple ,,,,Triple,Triple Room (No Window),
triple ,,,,Triple,Triple Room Shared Bathroom,
triple ,,,,Triple,Triple Room With Shared Bathroom,
triple ,,,,Triple,"Triple Room, Shared Bathroom",
triple double ,,,,Triple,Triple Bed - 1 Double With 1 Bunk Bed,
triple double single ,,,,Triple,Triple - 1 Double + 1 Single Bed,
triple ,,,,Triple Bunk,Triple - Bunk Bed Style,
triple ,,suite ,,Triple Suite,Triple Suite,
twin ,,,,Twin,My Twin Room,
twin ,,,Towers,Twin,Traders Twin Towers View,
twin ,,,Towers,Twin,Traders Twin Towers View Twin,
twin ,,,,Twin,Twin,
twin ,,,,Twin,Twin  Room,
twin ,,,,Twin,Twin Room,
twin ,,,,Twin,Twin Room (Cozy),
twin ,,,,Twin,Twin Room (No Window),
twin ,,,,Twin,"Twin Room, Shared Bathroom, Courtyard View",
,,suite ,,Villa,Serenity Villa Suite,
,,,,Villa,Three Bedroom Villa,
,,,,Villa,Two Bedroom Villa,
,,,,Villa,Villa,
,,,,Villa,"Villa, 2 Bedrooms",
